character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
帆,"巾, 几, 丶","Sail, boat",fān,"帆
├── 巾
└── 凡
    ├── 几
    └── 丶",⿰巾⿵几丶,① sail 凡 made of cloth 巾 for a boat,,,,2718
株,"木, ㇒, 一","Numerary adjunct for trees, root, stocks",zhū,"株
├── 木
└── 朱
    ├── 未
    │   ├── 木
    │   └── 一
    └── ㇒",⿰木⿱木⿰㇒一,① red part 朱 of a tree 木 ② part of a tree 木 (sheet of paper) that brings you in to the red 朱: stocks,,,,2719
屑,"尸, ⺌, 月","Bits, scraps, crumbs, fragments",xiè,"屑
├── 尸
└── 肖
    ├── ⺌
    └── 月",⿸尸⿱⺌月,① small ⺌ parts of bodies ⺼尸,,,,2720
躁,"口, 止, 木","hot-tempered, impatient",zào,"躁
├── ⻊
└── 喿
    ├── 品
    │   └── 口
    └── 木",⿰⿱口止⿱⿱口⿰口口木,,,,,2721
谟,"讠, 艹, 日, 大","plan, to practice, old variant of 謨|谟[mo2]",mó,"谟
├── 讠
└── 莫
    ├── 艹
    └── 旲
        ├── 日
        └── 大",⿰讠⿱艹⿱日大,,,,,2722
赎,"贝, 十, 乛, 大, ⺀","to redeem, to ransom",shú,"赎
├── 贝
└── 卖
    ├── 十
    └── 买
        ├── ㇖
        └── 头
            ├── 大
            └── ⺀",⿰贝⿱十⿱乛⿱大⺀,,,,,2723
惭,"忄, 车, 斤","variant of 慚|惭[can2], ashamed",cán,"惭
├── 忄
└── 斩
    ├── 车
    └── 斤",⿰忄⿰车斤,,,,,2724
僵,"亻, 一, 田","rigid, deadlock, stiff (corpse), variant of 僵[jiang1]",jiāng,"僵
├── 亻
└── 畺
    ├── 三
    │   ├── 一
    │   └── 二
    └── 畕
        └── 田",⿰亻⿳⿱一田⿱一田一,,,,,2725
涯,"氵, 厂, 土","Shore, bank, water's edge, limit, faraway places",yá,"涯
├── 氵
└── 厓
    ├── 厂
    └── 圭
        └── 土",⿰氵⿸厂⿱土土,① shore 厓  at the water's 氵 edge,,,,2726
荩,"艹, 尸, ㇏, ⺀","Arthraxon ciliare, loyal",jìn,"荩
├── 艹
└── 尽
    ├── 尺
    │   ├── 尸
    │   └── ㇏
    └── ⺀",⿱艹⿱⿱尸㇏⺀,,,,,2727
轴,"车, 由","Axle, axletree, pivot, axis","zhóu, zhòu","轴
├── 车
└── 由
    ├── 37024
    │   ├── 二
    │   └── 丨
    └── 凵",⿰车由,① the piece that sticks out 由 of the wheel 車,,,,2728
挫,"扌, 土, 人","Push down, chop down, grind",cuò,"挫
├── 扌
└── 坐
    ├── 土
    └── 从
        └── 人",⿰扌⿻土⿰人人,① hand 扌 pushing down someone forcing him to sit 坐,,,,2729
邢,"一, 廾, 阝","surname Xing, place name",Xíng,"邢
├── 开
│   ├── 一
│   └── 廾
└── 阝",⿰⿱一廾阝,,,,,2730
筵,"竹, 廴, 丿",bamboo mat for sitting,yán,"筵
├── ⺮
└── 延
    ├── 廴
    └── 38073
        ├── ㇒
        └── 止",⿱竹⿺廴⿱丿&CDP-8960;,,,,,2731
奎,"大, 土","Stride of man, one of the twenty-eight lunar mansions (which ancient chinese astrologers believed to control the literary trends of the world)",kuí,"奎
├── 大
└── 圭
    └── 土",⿱大⿱土土,① rs. big man 大 (god) of the tablets 圭 (literature),,,,2732
耿,"耳, 火","bright, honest, upright, surname Geng","gěng, Gěng","耿
├── 耳
└── 火",⿰耳火,,,,,2733
佣,"亻, 冂, 二, 丨","commission (for middleman), brokerage fee, to hire, to employ, servant, hired laborer, domestic help","yòng, yōng","佣
├── 亻
└── 用",⿰亻⿵冂⿻二丨,,,,,2734
凿,"凵, ⼋, ⼁, ⼀, 丷, 干","chisel, to bore a hole, to chisel or dig, (literary) (bound form) certain, authentic, irrefutable, also pr. [zuo4]",záo,"凿
├── 业
│   ├── 37859
│   │   ├── 10001
│   │   │   └── 丨
│   │   └── 丷
│   └── 一
└── 37633
    ├── 𢆉
    │   ├── 丷
    │   └── 干
    └── 凵",⿶凵⿱⿱⿻⼋⿰⼁⼁⼀⿱丷干,,,,,2735
碌,"石, 彐, 氺","Rough, uneven, rocky, mediocre, satisfactory","liù, lù","碌
├── 石
└── 录
    ├── 彐
    └── 氺",⿰石⿱彐氺,① hand splashes water 录 over the rough stones 石: satisfactory pastime,,,,2736
绰,"纟, ⺊, 日, 十","to grab, to snatch up, variant of 焯[chao1], generous, ample, wide, spacious, well-off, to grip","chāo, chuò","绰
├── 纟
└── 卓
    ├── ⺊
    └── 早
        ├── 日
        └── 十",⿰纟⿱⺊⿱日十,,,,,2737
娟,"女, 口, 月","beautiful, graceful",juān,"娟
├── 女
└── 肙
    ├── 口
    └── 月",⿰女⿱口月,,,,,2738
蹈,"口, 止, 爫, 臼","to tread on, to trample, to stamp, to fulfill, Taiwan pr. [dao4]",dǎo,"蹈
├── ⻊
└── 舀
    ├── 爫
    └── 臼",⿰⿱口止⿱爫臼,,,,,2739
陡,"阝, 土, 龰","steep, precipitous, abrubtly, suddenly, unexpectedly",dǒu,"陡
├── 阝
└── 走",⿰阝⿱土龰,,,,,2740
腺,"月, 白, 水",Gland,xiàn,"腺
├── 月
└── 泉
    ├── 白
    └── 水",⿰月⿱白水,① part of the body 月 that excretes fluid 泉,,,,2741
邱,"⽄, ⼀, 阝","mound, surname Qiu","qiū, Qiū","邱
├── 丘
│   ├── 斤
│   └── 一
└── 阝",⿰⿱⽄⼀阝,,,,,2742
奚,"爫, 幺, 大",Where? what? how? why? servant,"xī, Xī","奚
├── 爫
└── 𡗞
    ├── 幺
    └── 大",⿱爫⿱幺大,① rs. a hand ⺤ holding a rope 幺 around the neck of a servant 大: what has he done wrong and why,,,,2743
啡,"口, 非","Morphine, coffee",fēi,"啡
├── 口
└── 非",⿰口非,① negative 非 substance taking in the mouth 口,,,,2744
捏,"扌, 日, 土","to hold between the thumb and fingers, to pinch, to mold (using the fingers), to hold (lit. in one's hand and fig.), to join together, to fabricate (a story, a report, etc), variant of 捏[nie1]",niē,"捏
├── 扌
└── 圼
    ├── 日
    └── 土",⿰扌⿱日土,,,,,2745
涅,"氵, 日, 土","to blacken, abbr. for 涅槃[nie4 pan2], variant of 涅[nie4]",niè,"涅
├── 氵
└── 圼
    ├── 日
    └── 土",⿰氵⿱日土,,,,,2746
瞻,"目, 𠂊, 厂, 儿, 言","to gaze, to view",zhān,"瞻
├── 目
└── 詹
    ├── ⺈
    └── 38049
        ├── 厂
        └── 37349
            ├── 八
            └── 言",⿰目⿸⿱𠂊厂⿱儿言,,,,,2747
倩,"亻, 龶, 月","pretty, winsome, to ask for sb's help, son-in-law (old)",qiàn,"倩
├── 亻
└── 青",⿰亻⿱龶月,,,,,2748
酰,"酉, 𠂒, 儿","acid radical, -acyl (chemistry)",xiān,"酰
├── 酉
└── 先
    ├── ⺧
    └── 儿",⿰酉⿱𠂒儿,,,,,2749
诡,"讠, 𠂊, 厂, 㔾","sly, crafty, weird, bizarre, contradictory, inconsistent",guǐ,"诡
├── 讠
└── 危
    ├── ⺈
    └── 厄
        ├── 厂
        └── 㔾",⿰讠⿸⿱𠂊厂㔾,,,,,2750
窍,"宀, 八, 工, 一, ㇉","hole, opening, orifice (of the human body), (fig.) key (to the solution of a problem)",qiào,"窍
├── 穴
└── 巧
    ├── 工
    └── 丂
        ├── 一
        └── ㇉",⿱⿱宀八⿰工⿱一㇉,,,,,2751
奢,"大, 耂, 日","Extravagant, wasteful, exaggerate",shē,"奢
├── 大
└── 者
    ├── 耂
    └── 日",⿱大⿸耂日,"① big person 大 above a normal one 者: extravagant, exaggerates easily",,,,2752
诘,"讠, 士, 口","Question, interrogate, punish, prohibit, restrain, packed",jié,"诘
├── 讠
└── 吉
    ├── 士
    └── 口",⿰讠⿱士口,① speech of the sage 吉 asking 言 questions; the room is packed to hear him speak 言,,,,2753
挟,"扌, 二, 人, 丷","Clasp under arm, hold to bosom","jiā, xié","挟
├── 扌
└── 夹
    ├── 夫
    │   ├── 人
    │   └── 二
    └── 丷",⿰扌⿻⿻二人丷,① hand 扌 wedging 夾/夹 something,,,,2754
窑,"宀, 八, 缶","Kiln, oven, furnace, coal mine pit",yáo,"窑
├── 穴
└── 缶",⿱⿱宀八缶,① hole 穴 in which one can cook a lamb 羔 ② ⓢ hole 穴 which can be closed like a jar 缶: oven,,,,2755
盏,"戈, 一, 皿","a small cup, classifier for lamps",zhǎn,"盏
├── 戋
└── 皿",⿱⿻戈一皿,,,,,2756
诰,"讠, 𠂒, 口","to enjoin, to grant (a title)",gào,"诰
├── 讠
└── 告
    ├── ⺧
    └── 口",⿰讠⿱𠂒口,,,,,2757
匀,"勹, 冫",Equal,yún,"匀
├── 勹
└── 亠",⿹勹冫,① rs. a hand 勹 measuring two 二 things the same,,,,2758
谍,"讠, 世, 木",to spy,dié,"谍
├── 讠
└── 枼
    ├── 世
    │   ├── ㇗
    │   └── 廿
    └── 木",⿰讠⿱世木,,,,,2759
淘,"氵, 勹, 缶","to wash, to clean out, to cleanse, to eliminate, to dredge",táo,"淘
├── 氵
└── 匋
    ├── 勹
    └── 缶",⿰氵⿹勹缶,,,,,2760
蚁,"虫, 丿, 乀, 丶",Ant,yǐ,"蚁
├── 虫
└── 义
    ├── 乂
    │   └── ㇒
    └── 丶",⿰虫⿶⿻丿乀丶,① insect 虫 guarding his nest 義 ② insect 虫 whose righteousness 义 grants the colony survival,,,,2761
汴,"氵, 丶, 一, 卜","name of a river in Henan, Henan",Biàn,"汴
├── 氵
└── 卞
    ├── 亠
    └── 卜",⿰氵⿱丶⿱一卜,,,,,2762
魅,"鬼, 木, 一","Kind of forest demon, elf, charm, mislead",mèi,"魅
├── 鬼
└── 未
    ├── 木
    └── 一",⿺鬼⿻木一,① goblin 鬼 sitting at the end of a tree near the buds 未: charming and misleading demon,,,,2763
踢,"口, 止, 日, 勹, 丿",Kick,tī,"踢
├── ⻊
└── 易
    ├── 日
    └── 勿
        ├── 勹
        └── 37125
            └── ㇒",⿰⿱口止⿱日⿹勹⿱丿丿,① foot 𧾷 changing 易 the direction of something: kick,,,,2764
藻,"艹, 氵, 口, 木","Algae, diction, wording",zǎo,"藻
├── 艹
└── 澡
    ├── 氵
    └── 喿
        ├── 品
        │   └── 口
        └── 木",⿱艹⿰氵⿱⿱口⿰口口木,① plant 艹 continually washed like the birds 澡 by the sea,,,,2765
娱,"女, 口, 一, 大",to amuse,yú,"娱
├── 女
└── 吴
    ├── 口
    └── 天
        ├── 一
        └── 大",⿰女⿱口⿱一大,,,,,2766
栗,"覀, 木","Chestnut tree, firm, tremble, dignified","lì, Lì","栗
├── 覀
└── 木",⿱覀木,① rs. a kind of tree 木 with fruit 覀 at top,,,,2767
怡,"忄, 厶, 口","harmony, pleased",yí,"怡
├── 忄
└── 台
    ├── 厶
    └── 口",⿰忄⿱厶口,,,,,2768
灿,"火, 山","Vivid, illuminating, bright, brilliant",càn,"灿
├── 火
└── 山",⿰火山,① bright 粲 flame 火,,,,2769
稻,"禾, 爫, 臼","Rice plant, rice paddy",dào,"稻
├── 禾
└── 舀
    ├── 爫
    └── 臼",⿰禾⿱爫臼,① ladle 舀 water for the rice plants 禾 in the paddy ② modf. 稻 → 稲,,,,2770
讫,"讠, 丿, 一, 乙",finished,qì,"讫
├── 讠
└── 乞
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── ㇠",⿰讠⿱⿰丿一乙,,,,,2771
朽,"木, 一, ㇉","Decayed, rotten, rot, decay",xiǔ,"朽
├── 木
└── 丂
    ├── 一
    └── ㇉",⿰木⿱一㇉,① wood 木 without breath (dead) 丂 is left to rot,,,,2772
坤,"土, 申","Divination sign, land, earth",kūn,"坤
├── 土
└── 申
    ├── 日
    └── 丨",⿰土申,"① fortunetellers monkey around 申 with the dupable people who trust them with their land 土, they divine things from shells on a string 毌 thrown on the ground 土, from the shape they know everything that is above 丶 the fields 田 and below 丶 the fields 田"," 卜
",,,2773
棚,"木, 月","Tent, awning, booth, shed, shelf",péng,"棚
├── 木
└── 朋
    └── 月",⿰木⿰月月,① made in wood 木 to not sleep under the moon 月 or to have a horizontal acquaintance 朋 with something,,,,2774
槐,"木, 鬼","Chinese scholar tree (Sophora japonica), Japanese pagoda tree",huái,"槐
├── 木
└── 鬼",⿰木鬼,,,,,2775
蕴,"艹, 纟, 日, 皿","to accumulate, to hold in store, to contain, to gather together, to collect, depth, inner strength, profundity",yùn,"蕴
├── 艹
└── 缊
    ├── 纟
    └── 昷
        ├── 日
        └── 皿",⿱艹⿰纟⿱日皿,,,,,2776
哟,"口, 纟, 勹, 丶","Ah, oh, final particle","yō, yo","哟
├── 口
└── 约
    ├── 纟
    └── 勺
        ├── 勹
        └── 丶",⿰口⿰纟⿹勹丶,① mouth 口 wrapped 勺 by a silk ribbon 糸/纟says ah,,,,2777
饷,"饣, 丿, 冂, 口","soldier's pay, variant of 餉|饷[xiang3]",xiǎng,"饷
├── 饣
└── 向
    ├── 宀
    └── 口",⿰饣⿵⿱丿冂口,,,,,2778
沧,"氵, 人, 㔾","blue-green or azure (of water), vast (of water), cold",cāng,"沧
├── 氵
└── 仓
    ├── 人
    └── 㔾",⿰氵⿱人㔾,,,,,2779
醇,"酉, 亠, 口, 子","alcohol, wine with high alcohol content, rich, pure, good wine, sterols, old variant of 醇[chun2]",chún,"醇
├── 酉
└── 享
    ├── 37045
    │   ├── 亠
    │   └── 口
    └── 子",⿰酉⿳亠口子,,,,,2780
螺,"虫, 田, 糸","Spiral shell, conch, spiral",luó,"螺
├── 虫
└── 累
    ├── 田
    └── 糸",⿰虫⿱田糸,① snake like 虫 creature living in a shell that's accumulated 累 over time,,,,2781
垄,"龙, 土","ridge between fields, row of crops, grave mound",lǒng,"垄
├── 龙
└── 土",⿱龙土,,,,,2782
骆,"一, 夂, 口","camel, white horse with a black mane (archaic), surname Luo","luò, Luò","骆
├── 马
└── 各
    ├── 夂
    └── 口",⿰⿹&CDP-8A77;一⿱夂口,,,,,2783
煮,"耂, 日, 灬",Cook,zhǔ,"煮
├── 者
│   ├── 耂
│   └── 日
└── 灬",⿱⿸耂日灬,① person 者 in front of a fire 灬: he's cooking,,,,2784
拙,"扌, 凵, 丨","Stupid, clumsy, crude, convention",zhuō,"拙
├── 扌
└── 出
    └── 山",⿰扌⿱⿻凵丨凵,① hand 扌 sticking out 出 of the window: stupid and clumsy,,,,2785
桐,"木, 冂, 一, 口",Paulownia,tóng,"桐
├── 木
└── 同
    ├── 冂
    └── 𠮛
        ├── 一
        └── 口",⿰木⿵⿵冂一口,① popular tree 木 for planting on the road side: rows on rows of identical 同 trees: paulownia,,,,2786
芙,"艹, 二, 人","Hibiscus, lotus",fú,"芙
├── 艹
└── 夫
    ├── 人
    └── 二",⿱艹⿻二人,① flower 艹 a male 夫 is collecting for his wife,,,,2787
衬,"衤, 寸","Underwear, inner garments",chèn,"衬
├── 衤
└── 寸",⿰衤寸,① tiny 寸 piece of clothing 衤 your parents 親 learned you to wear,,,,2788
沼,"氵, 刀, 口","Lake, fishpond, swamps",zhǎo,"沼
├── 氵
└── 召
    ├── 刀
    └── 口",⿰氵⿱刀口,① summoned 召 (unnatural) body of water 氵,,,,2789
馨,"士, 尸, 丨, 𠘧, 又, 禾, 日","Fragrant, aromatic, favourable",xīn,"馨
├── 殸
│   ├── 37127
│   │   ├── 士
│   │   └── 殳
│   └── 𠃜
│       ├── 丨
│       └── 47652
│           ├── 99721
│           │   └── 匚
│           └── 丨
└── 香",⿱⿰⿱士⿻尸丨⿱𠘧又⿱禾日,① smell 香 so fragrant it hits you like the sound of a stone chime 殸,,,,2790
甸,"勹, 田","suburbs or outskirts, one of the five degrees of official mourning attire in dynastic China, official in charge of fields (old), surname Dian","diàn, Diàn","甸
├── 勹
└── 田",⿹勹田,,,,,2791
畔,"田, 丷, 二, 丨","Boundary path dividing fields, side, bank",pàn,"畔
├── 田
└── 半
    ├── 37024
    │   ├── 二
    │   └── 丨
    └── 丷",⿰田⿱丷⿻二丨,① divides a field 田 in half 半,,,,2792
樊,"木, 㐅, 丿, 乀, 大","cage, fence, surname Fan","fán, Fán","樊
├── 棥
│   ├── 林
│   │   └── 木
│   └── 爻
└── 大",⿱⿲木⿱㐅⿻丿乀木大,,,,,2793
侮,"亻, 丿, 一, 母","Insult, ridicule, disgrace, bully",wǔ,"侮
├── 亻
└── 每
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── 母",⿰亻⿱⿰丿一母,"① doing something to a person 亻 in front of everyone 每: insult, ridicule or bully",,,,2794
蹲,"口, 止, 丷, 酉, 寸","to crouch, to squat, to stay (somewhere)",dūn,"蹲
├── ⻊
└── 尊
    ├── 酋
    │   ├── 丷
    │   └── 酉
    └── 寸",⿰⿱口止⿱⿱丷酉寸,,,,,2795
蚕,"一, 大, 虫",Silkworms,cán,"蚕
├── 天
│   ├── 一
│   └── 大
└── 虫",⿱⿱一大虫,① insects 虫虫 everybody talks about 朁 ② ⓢ insect 虫 from heaven 天,,,,2796
辣,"立, 十, 木, 口","Peppery, pungent, hot, cruel",là,"辣
├── 辛
└── 束
    ├── 木
    └── 口",⿰⿱立十⿻木口,① bag 束 of spicy 辛 stuff: pepper,,,,2797
搅,"扌, 𭕄, 冖, 见","to disturb, to annoy, to mix, to stir",jiǎo,"搅
├── 扌
└── 觉
    ├── 37044
    │   ├── ⺍
    │   └── 冖
    └── 见",⿰扌⿳𭕄冖见,,,,,2798
觅,"爫, 见","(literary) to seek, to find, old variant of 覓|觅[mi4]",mì,"觅
├── 爫
└── 见",⿱爫见,,,,,2799
椎,"木, 隹","a hammer, spine","chuí, zhuī","椎
├── 木
└── 隹",⿰木隹,,,,,2800
驼,"一, 宀, 匕","hump or hunchbacked, camel, variant of 駝|驼[tuo2]",tuó,"驼
├── 马
└── 它
    ├── 宀
    └── 匕",⿰⿹&CDP-8A77;一⿱宀匕,,,,,2801
嫩,"女, 木, 口, 攵","tender, soft, delicate, light (color), inexperienced, unskilled, old variant of 嫩[nen4], tender, delicate",nèn,"嫩
├── 女
└── 敕
    ├── 束
    │   ├── 木
    │   └── 口
    └── ⺙",⿰女⿰⿻木口攵,,,,,2802
弧,"弓, 瓜","Wooden bow, arc, crescent",hú,"弧
├── 弓
└── 瓜",⿰弓瓜,① bow 弓 used to shoot at melons 瓜,,,,2803
褚,"衤, 耂, 日","padding (in garment), to store up, pocket, Taiwan pr. [chu3], surname Chu","zhǔ, Chǔ","褚
├── 衤
└── 者
    ├── 耂
    └── 日",⿰衤⿸耂日,,,,,2804
